model_name,Тип устройства,Разрешение записи основной камеры,"Поддержка доп.камеры, модель",Доп.камера в комплекте,Разрешение доп. камеры,Функция парковки доп. камеры,CPL-фильтр,Цикл записи,Оптимизация изображения HDR/WDR,G-сенсор (Датчик удара),Датчик движения,Распознавание дорожных знаков (AI function),Процессор,Сенсор (матрица),Режимы работы,Радарный модуль,Сигнатурная подпись (распознавание камер по принимаемому антенной излучения),LNA (Усилитель слабых сигналов),GPS-модуль,Обнаружение GPS камер,Дополнительные возможности обнаружения камер,Запись звука,"WiFi для обновления ПО, настройки, просмотра и отправки видео",Угол обзора,Дисплей,Датчик автоматической регулировки яркости дисплея,Максимальный объём карты памяти,"Штамп на видео (Дата, время, координаты, номер авто, скорость)",Микрофон и динамик,GPS / ГЛОНАСС,Суперконденсатор,Крепление,Разъем для подключения,Входное напряжение ЗУ,Входное напряжение ВР,Гарантия,Ссылка для обновления,Актуальность модели,Ссылка на сайт,Отличительные особенности
Fujida Karma Hit,Комбинированное устройства 3в1 (Видеорегистратор + Радар-детектор + GPS-информер),1920✕1080p   60FPS  / 1920✕1080p   30FPS,нет,нет,Доп. камера отсуствует,нет,нет,"1, 3, 5 мин",WDR,Низкий / Средний / Высокий,есть,нет,Mstar 8339,GalaxyCore GC2053,Россия / Смарт / Москва / СНГ,Патч антенна,нет,нет,есть,Автоматическое,"Контроль: средней скорости, светофора, автобусной полосы, мобильных засад, камер в спину, камер типа платон (для грузовых авто)",есть,нет,170°,3” IPS,есть,128ГБ,есть,Встроенные,есть,есть,Сквозное на защелке,DC 3.5mm,DC 12-24В,DC 12-24В,1 год,https://update.fujida.su/services/kombo-ustroystva/fujida-karma-hit/,Актуальна,https://fujida.pro/catalog/35/karma-hit,Бюджетная модель комбо-устройства 3в1 с Full HD (1920x1080) записью 60fps. Минимум цены на максимум функционала.Оповещение о камерах по GPS-базе.Крепление на саласках со сквозным питанием.
Fujida Karma Duos S,Комбинированное устройства 3в1 (Видеорегистратор + Радар-детектор + GPS-информер),Full HD (1920✕1080 при 30 FPS),Zoom FHD,да,Full HD (1920✕1080 при 30 FPS),нет,есть,"1, 2, 3 мин",WDR,Низкий / Средний / Высокий,есть,нет,Novatek 96675,Sony IMX307,Смарт / Турбо / Тихий,Патч антенна,нет,нет,есть,Автоматическое,"Контроль: средней скорости, светофора, автобусной полосы, мобильных засад, камер в спину, камер типа платон (для грузовых авто)",есть,есть,170°,3” IPS,есть,128ГБ,есть,Встроенные,есть,есть,Легкосъемный магнитный кронштейн со сквозным питанием,Mini USB,DC 12-24В,DC 5В,2 года,https://update.fujida.su/services/kombo-ustroystva/fujida-karma-duos-s-wifi/,"Устаревшая модель, снята с производства",,
Fujida Karma Pro,Комбинированное устройства 3в1 (Видеорегистратор + Радар-детектор + GPS-информер),2560✕1440 30FPS / 2304✕1296 30FPS /  1920✕1080p 60FPS    (1920✕1080p 30FPS при подключении доп.камеры),Zoom FHD,нет,Full HD (1920✕1080 при 30 FPS),нет,есть,"1, 2, 3 мин",WDR,Низкий / Средний / Высокий,есть,нет,Novatek 96663,Sony IMX307,Россия / Москва / СНГ,Патч антенна,нет,нет,есть,Автоматическое,"Контроль: средней скорости, светофора, автобусной полосы, мобильных засад, камер в спину, камер типа платон (для грузовых авто)",есть,есть,170°,3” IPS,есть,32ГБ,есть,Встроенные,есть,есть,Лёгкосъёмный кронштейн с активной зарядкой на саласках,Mini USB,DC 12-24В,DC 5В,2 года,https://update.fujida.su/services/kombo-ustroystva/fujida-karma-pro/,"Устаревшая модель, снята с производства",,
Fujida Karma Duos,Комбинированное устройства 3в1 (Видеорегистратор + Радар-детектор + GPS-информер),1920✕1080p 30FPS,Zoom VGA,нет,VGA (640✕480 при 30 FPS),есть,есть,"1, 3, 5 мин",WDR,Низкий / Средний / Высокий,есть,нет,Novatek 96658,Sony IMX323,Россия / Москва / СНГ,Патч антенна,нет,нет,есть,Автоматическое,"Контроль: средней скорости, светофора, автобусной полосы, мобильных засад, камер в спину, камер типа платон (для грузовых авто)",есть,есть,170°,3” IPS,есть,32ГБ,есть,Встроенные,есть,есть,Лёгкосъёмный кронштейн с активной зарядкой на саласках,Mini USB,DC 12-24В,DC 5В,2 года,https://update.fujida.su/services/kombo-ustroystva/fujida-karma-duos/,"Устаревшая модель, снята с производства",,
Fujida Karma Bliss,Комбинированное устройства 3в1 (Видеорегистратор + Радар-детектор + GPS-информер),1920✕1080p 30FPS,Zoom VGA,нет,VGA (640✕480 при 30 FPS),есть,нет,"1, 3, 5 мин",WDR,Низкий / Средний / Высокий,есть,нет,Novatek 96658,Sony IMX323,Россия / Москва / СНГ,Патч антенна,нет,нет,есть,Автоматическое,"Контроль: средней скорости, светофора, автобусной полосы, мобильных засад, камер в спину, камер типа платон (для грузовых авто)",есть,есть,170°,3” IPS,есть,32ГБ,есть,Встроенные,есть,есть,Лёгкосъёмный кронштейн с активной зарядкой на саласках,Mini USB,DC 12-24В,DC 5В,2 года,https://update.fujida.su/services/kombo-ustroystva/fujida-karma-bliss-wifi/,"Устаревшая модель, снята с производства",,
Fujida Karma Slim,Комбинированное устройства 3в1 (Видеорегистратор + Радар-детектор + GPS-информер),1920✕1080p 30FPS,нет,нет,Доп. камера отсуствует,нет,нет,"1, 3, 5 мин",WDR,Низкий / Средний / Высокий,есть,нет,Novatek 96658,Sony IMX323,Россия / Москва / СНГ,Патч антенна,нет,нет,есть,Автоматическое,"Контроль: средней скорости, светофора, автобусной полосы, мобильных засад, камер в спину, камер типа платон (для грузовых авто)",есть,есть,170°,3” IPS,есть,32ГБ,есть,Встроенные,есть,есть,Лёгкосъёмный кронштейн с активной зарядкой на саласках,Mini USB,DC 12-24В,DC 5В,2 года,https://update.fujida.su/services/kombo-ustroystva/fujida-karma-slim/,"Устаревшая модель, снята с производства",,
Fujida Karma Hara,Комбинированное устройства 3в1 (Видеорегистратор + Радар-детектор + GPS-информер),1920✕1080p 30FPS,нет,нет,Доп. камера отсуствует,нет,нет,"1, 3, 5 мин",WDR,Низкий / Средний / Высокий,есть,нет,Novatek 96658,Sony IMX323,Россия / Москва / СНГ,Патч антенна,нет,нет,есть,Автоматическое,"Контроль: средней скорости, светофора, автобусной полосы, мобильных засад, камер в спину, камер типа платон (для грузовых авто)",есть,нет,170°,3” IPS,есть,32ГБ,есть,Встроенные,есть,есть,Лёгкосъёмный кронштейн с активной зарядкой на саласках,Mini USB,DC 12-24В,DC 5В,2 года,https://update.fujida.su/services/kombo-ustroystva/fujida-karma-hara/,"Устаревшая модель, снята с производства",,
Fujida Karma S,Комбинированное устройства 3в1 (Видеорегистратор + Радар-детектор + GPS-информер),Super HD (2304✕1296),нет,нет,Доп. камера отсуствует,нет,нет,"1, 3, 5 мин",WDR,Низкий / Средний / Высокий,есть,нет,Ambarella A7la50,Optina,Россия / Москва / Казахстан,Рупорная антенна,нет,нет,есть,Автоматическое,"Контроль: средней скорости, светофора, автобусной полосы, мобильных засад, камер в спину, камер типа платон (для грузовых авто)",есть,нет,170°,3” IPS,есть,32ГБ,есть,Встроенные,есть,есть,Лёгкосъёмный кронштейн с активной зарядкой на саласках,DC 2.5mm,DC 12-24В,DC 12-24В,2 года,https://update.fujida.su/services/kombo-ustroystva/fujida-karma-s/,"Устаревшая модель, снята с производства",,
Fujida Karma,Комбинированное устройства 3в1 (Видеорегистратор + Радар-детектор + GPS-информер),1920✕1080p 30FPS,нет,нет,Доп. камера отсуствует,нет,нет,"1, 3, 5 мин",WDR,Низкий / Средний / Высокий,есть,нет,Ambarella A7la30,Optina,Россия / Москва / Казахстан,Рупорная антенна,нет,нет,есть,Автоматическое,"Контроль: средней скорости, светофора, автобусной полосы, мобильных засад, камер в спину, камер типа платон (для грузовых авто)",есть,нет,170°,3” IPS,есть,32ГБ,есть,Встроенные,есть,есть,Лёгкосъёмный кронштейн с активной зарядкой на саласках,DC 2.5mm,DC 12-24В,DC 12-24В,2 года,https://update.fujida.su/services/kombo-ustroystva/fujida-karma/,"Устаревшая модель, снята с производства",,
Fujida Zoom Smart Max WiFi,Комбинированное устройства 2в1 (Видеорегистратор + GPS-информер),3804✕2160 30FPS / 2560✕1440(HDR) 30FPS / 1920✕1080 60FPS/,нет,нет,Доп. камера отсуствует,нет,есть,"1, 2, 3 мин",есть,Низкий / Средний / Высокий,есть,есть,Novatek 96670,Sony IMX415,Россия / СНГ,нет,нет,нет,есть,"Автоматическое, регулируемое","Контроль: средней скорости, светофора, автобусной полосы, мобильных засад, камер в спину, камер типа платон (для грузовых авто)",есть,есть,170°,3” IPS,есть,128ГБ,есть,Встроенные,есть,есть,Легкосъемный магнитный кронштейн со сквозным питанием,USB Type-C,DC 12-24В,DC 5В,2 года,https://update.fujida.su/services/kombo-ustroystva-2-v-1/fujida-zoom-smart-max/,Актуальна,https://fujida.pro/catalog/41/smart-max,"Топовая модель видеорегистратора и GPS-информера с записью в 4K Ultra HD, обновлённый интерфейс устройства, Ai-function (распознавание дорожных знаков). Оповещение о камерах по GPS-базе."
Fujida Zoom Hit Max Duo WiFi,Комбинированное устройства 2в1 (Видеорегистратор + GPS-информер),Full HD (1920✕1080 при 30 FPS),Zoom FHD,да,Full HD (1920✕1080 при 30 FPS),нет,есть,"1, 2, 3 мин",есть,Низкий / Средний / Высокий,есть,нет,Novatek 96565,Sony IMX335,Россия / СНГ,нет,нет,нет,есть,"Автоматическое, регулируемое","Контроль: средней скорости, светофора, автобусной полосы, мобильных засад, камер в спину, камер типа платон (для грузовых авто)",есть,есть,170°,2.35' IPS,нет,128ГБ,есть,Встроенные,есть,есть,Легкосъемный магнитный кронштейн со сквозным питанием,Micro USB,DC 12-24В,DC 5В,2 года,https://update.fujida.su/services/kombo-ustroystva-2-v-1/fujida-zoom-hit-max-wifi/,"Продаётся, снята с производства",https://fujida.pro/catalog/79/hit-max-duo1732017987,"Высокое качество записи за счёт сенсора Sony, компактный корпус, доп.камера заднего вида в комплекте. Оповещение о камерах по GPS-базе."
Fujida Zoom Hit Max WiFi,Комбинированное устройства 2в1 (Видеорегистратор + GPS-информер),2560✕1440 30FPS /  1920✕1080p 60FPS / 1920✕1080p(HDR) 30FPS,нет,нет,Доп. камера отсуствует,нет,есть,"1, 3, 5 мин",есть,Низкий / Средний / Высокий,есть,нет,Novatek 96565,Sony IMX335,Россия / СНГ,нет,нет,нет,есть,"Автоматическое, регулируемое","Контроль: средней скорости, светофора, автобусной полосы, мобильных засад, камер в спину, камер типа платон (для грузовых авто)",есть,есть,170°,2.35' IPS,нет,128ГБ,есть,Встроенные,есть,есть,Легкосъемный магнитный кронштейн со сквозным питанием,Micro USB,DC 12-24В,DC 5В,2 года,https://update.fujida.su/services/kombo-ustroystva-2-v-1/fujida-zoom-hit-max-wifi/,"Продаётся, снята с производства",https://fujida.pro/catalog/76/hit-max1730536048,"Высокое качество записи Quad HD, сенсор Sony IMX335. компактный корпус. Оповещение о камерах по GPS-базе."
Fujida Zoom Smart S WiFi,Комбинированное устройства 2в1 (Видеорегистратор + GPS-информер),2304✕1296 30FPS /  1920✕1080p 60FPS / 1920✕1080p(HDR) 30FPS,нет,нет,Доп. камера отсуствует,нет,есть,"1, 3, 5 мин",есть,Низкий / Средний / Высокий,есть,есть,Novatek 96675,SONY IMX307 Star Night,Россия / СНГ,нет,нет,нет,есть,"Автоматическое, регулируемое","Контроль: средней скорости, светофора, автобусной полосы, мобильных засад, камер в спину, камер типа платон (для грузовых авто)",есть,есть,170°,3” IPS,есть,128ГБ,есть,Встроенные,есть,есть,Легкосъемный магнитный кронштейн со сквозным питанием,"USB Type-C, в ранних моделях использовался Mini USB",DC 12-24В,DC 5В,2 года,https://update.fujida.su/services/kombo-ustroystva-2-v-1/fujida-zoom-smart-s-wifi/,Актуальна,https://fujida.pro/catalog/13/smart-s,"Отличное качество записи днём и ночью благодоря сенсору Sony IMX307 star night, Ai-function (распознавание дорожных знаков), огромное количество положительных отзывов. Лучший вариант Видеорегистратора с GPS-информером за свою цену. Оповещение о камерах по GPS-базе."
Fujida Zoom Smart SE Duo WiFi,Комбинированное устройства 2в1 (Видеорегистратор + GPS-информер),Full HD (1920✕1080 при 30 FPS),Zoom FHD 2,да,Full HD (1920✕1080 при 30 FPS),есть,есть,"1, 2, 3 мин",WDR,Низкий / Средний / Высокий,есть,нет,Mstar 8339,GalaxyCore GC2053,Россия / СНГ,нет,нет,нет,есть,"Автоматическое, регулируемое","Контроль: средней скорости, светофора, автобусной полосы, мобильных засад, камер в спину, камер типа платон (для грузовых авто)",есть,есть,170°,3” IPS,есть,128ГБ,есть,Встроенные,есть,есть,Легкосъемный магнитный кронштейн со сквозным питанием,USB Type-C,DC 12-24В,DC 5В,2 года,https://update.fujida.su/services/kombo-ustroystva-2-v-1/fujida-zoom-smart-se-wifi/,"Продаётся, снята с производства",,
Fujida Zoom Smart SE WiFi,Комбинированное устройства 2в1 (Видеорегистратор + GPS-информер),1920✕1080p 60FPS / 1920✕1080p 30FPS,нет,нет,Доп. камера отсуствует,нет,есть,"1, 3, 5 мин",WDR,Низкий / Средний / Высокий,есть,нет,Mstar 8339,GalaxyCore GC2053,Россия / СНГ,нет,нет,нет,есть,"Автоматическое, регулируемое","Контроль: средней скорости, светофора, автобусной полосы, мобильных засад, камер в спину, камер типа платон (для грузовых авто)",есть,есть,170°,3” IPS,есть,128ГБ,есть,Встроенные,есть,есть,Легкосъемный магнитный кронштейн со сквозным питанием,USB Type-C,DC 12-24В,DC 5В,2 года,https://update.fujida.su/services/kombo-ustroystva-2-v-1/fujida-zoom-smart-se-wifi/,"Продаётся, снята с производства",,
Fujida Zoom Hit S Duo WiFi,Комбинированное устройства 2в1 (Видеорегистратор + GPS-информер),Full HD (1920✕1080 при 30 FPS),Zoom FHD,да,Full HD (1920✕1080 при 30 FPS),нет,есть,"1, 2, 3 мин",WDR,Низкий / Средний / Высокий,есть,нет,Mstar 8339,GalaxyCore GC2053,Россия / СНГ,нет,нет,нет,есть,"Автоматическое, регулируемое","Контроль: средней скорости, светофора, автобусной полосы, мобильных засад, камер в спину, камер типа платон (для грузовых авто)",есть,есть,170°,2.35' IPS,нет,128ГБ,есть,Встроенные,есть,есть,Легкосъемный магнитный кронштейн со сквозным питанием,"USB Type-C, в ранних моделях использовался Micro USB",DC 12-24В,DC 5В,1 год,https://update.fujida.su/services/kombo-ustroystva-2-v-1/fujida-zoom-hit-s-wifi/,Актуальна,https://fujida.pro/catalog/32/hit-s-duo,"Высокое качество записи Full HD, компактный корпус, доп.камера заднего вида в комплекте. Оповещение о камерах по GPS-базе."
Fujida Zoom Hit S WiFi,Комбинированное устройства 2в1 (Видеорегистратор + GPS-информер),2304✕1296 30FPS /  1920✕1080p 60FPS / 1920✕1080p 30FPS,нет,нет,Доп. камера отсуствует,нет,есть,"1, 3, 5 мин",WDR,Низкий / Средний / Высокий,есть,нет,Mstar 8339,GalaxyCore GC2053,Россия / СНГ,нет,нет,нет,есть,"Автоматическое, регулируемое","Контроль: средней скорости, светофора, автобусной полосы, мобильных засад, камер в спину, камер типа платон (для грузовых авто)",есть,есть,170°,2.35' IPS,нет,128ГБ,есть,Встроенные,есть,есть,Легкосъемный магнитный кронштейн со сквозным питанием,"USB Type-C, в ранних моделях использовался Micro USB",DC 12-24В,DC 5В,1 год,https://update.fujida.su/services/kombo-ustroystva-2-v-1/fujida-zoom-hit-s-wifi/,Актуальна,https://fujida.pro/catalog/14/hit-s,"Высокое качество записи Super HD, компактный корпус, Оповещение о камерах по GPS-базе."
Fujida Zoom Blik S Duo WiFi,Комбинированное устройства 2в1 (Видеорегистратор + GPS-информер),Full HD (1920✕1080 при 30 FPS),Zoom FHD 2,да,Full HD (1920✕1080 при 30 FPS),есть,нет,"1, 2, 3 мин",WDR,Низкий / Средний / Высокий,есть,нет,Mstar 8339,GalaxyCore GC2053,Россия / СНГ,нет,нет,нет,есть,Автоматическое,"Контроль: средней скорости, светофора, автобусной полосы, мобильных засад, камер в спину, камер типа платон (для грузовых авто)",есть,есть,170°,5” IPS,нет,128ГБ,есть,Встроенные,есть,есть,Эластичные стяжки,DC 3.5mm,DC 12-24В,DC 12-24В,1 год,https://update.fujida.su/services/kombo-ustroystva-2-v-1/fujida-zoom-blik-s-wifi/,"Продаётся, снята с производства",https://fujida.pro/catalog/34/blik-s-duo,
Fujida Zoom Blik S WiFi,Комбинированное устройства 2в1 (Видеорегистратор + GPS-информер),2304✕1296 30FPS /  1920✕1080p 60FPS / 1920✕1080p 30FPS,нет,нет,Доп. камера отсуствует,нет,нет,"1, 3, 5 мин",WDR,Низкий / Средний / Высокий,есть,нет,Mstar 8339,GalaxyCore GC2053,Россия / СНГ,нет,нет,нет,есть,Автоматическое,"Контроль: средней скорости, светофора, автобусной полосы, мобильных засад, камер в спину, камер типа платон (для грузовых авто)",есть,есть,170°,5” IPS,нет,128ГБ,есть,Встроенные,есть,есть,Эластичные стяжки,DC 3.5mm,DC 12-24В,DC 12-24В,1 год,https://update.fujida.su/services/kombo-ustroystva-2-v-1/fujida-zoom-blik-s-wifi/,"Продаётся, снята с производства",https://fujida.pro/catalog/30/blik-s,
